cod_pais;nom_pais;region;cod_provincia;nom_provincia;cod_depto;nom_depto;Cant_de_naf;año_de_registro;integ_del_NAF;integ_menores_de_edad;integ_mayores_de_edad;integ_que_trabajan_en_el_predio;cant_de_mujeres_integrantes_del_NAF;cant_de_varones_integrantes_del_NAF
32;Argentina;NEA;22;CHACO;126;1 DE MAYO;1;2011;4;2;2;3;1;3
32;Argentina;NEA;22;CHACO;126;1 DE MAYO;4;2012;15;5;10;12;7;8
32;Argentina;NEA;22;CHACO;126;1 DE MAYO;1;2014;3;0;3;1;2;1
32;Argentina;NEA;22;CHACO;126;1 DE MAYO;1;2015;4;2;2;2;1;3
32;Argentina;NEA;22;CHACO;126;1 DE MAYO;1;2016;3;1;2;2;2;1
32;Argentina;NEA;22;CHACO;126;1 DE MAYO;78;2017;233;55;178;4;106;119
32;Argentina;NEA;22;CHACO;126;1 DE MAYO;1;Sin dato;2;0;2;0;1;1
32;Argentina;NEA;22;CHACO;36;12 DE OCTUBRE;73;2010;316;151;165;216;151;165
32;Argentina;NEA;22;CHACO;36;12 DE OCTUBRE;22;2011;63;23;40;45;27;36
32;Argentina;NEA;22;CHACO;36;12 DE OCTUBRE;1;2012;1;0;1;1;0;1
32;Argentina;NEA;22;CHACO;36;12 DE OCTUBRE;24;2016;93;19;74;67;39;54
32;Argentina;NEA;22;CHACO;36;12 DE OCTUBRE;7;2017;23;1;22;0;10;13
32;Argentina;NEA;22;CHACO;36;12 DE OCTUBRE;4;Sin dato;8;0;8;0;4;4
32;Argentina;NEA;22;CHACO;39;2 DE ABRIL;11;2009;36;10;25;29;19;17
32;Argentina;NEA;22;CHACO;39;2 DE ABRIL;37;2010;146;53;93;101;67;79
32;Argentina;NEA;22;CHACO;39;2 DE ABRIL;76;2011;273;93;180;204;124;149
32;Argentina;NEA;22;CHACO;39;2 DE ABRIL;27;2012;80;27;53;63;40;40
32;Argentina;NEA;22;CHACO;39;2 DE ABRIL;10;2013;41;21;20;36;23;18
