cod_pais,nom_pais,region,cod_provincia,nom_provincia,cod_depto,nom_depto,año_de_registro,Cant_de_naf,integ_del_NAF,sin_educacion_formal,educacion_inicial,educacion_primaria,educacion_secundaria,educacion_cens,educacion_superior,educacion_especial
32,Argentina,NEA,22,CHACO,126,1 DE MAYO,2011,1,4,0,1,1,2,0,0,0
32,Argentina,NEA,22,CHACO,126,1 DE MAYO,2012,4,15,1,0,8,6,0,0,0
32,Argentina,NEA,22,CHACO,126,1 DE MAYO,2014,1,3,0,0,0,3,0,0,0
32,Argentina,NEA,22,CHACO,126,1 DE MAYO,2015,1,4,1,0,3,0,0,0,0
32,Argentina,NEA,22,CHACO,126,1 DE MAYO,2016,1,3,0,0,0,0,0,2,0
32,Argentina,NEA,22,CHACO,126,1 DE MAYO,2017,78,233,26,1,135,63,0,8,0
32,Argentina,NEA,22,CHACO,126,1 DE MAYO,Sin dato,1,2,0,0,0,0,0,0,0
32,Argentina,NEA,22,CHACO,36,12 DE OCTUBRE,2010,73,316,38,29,223,23,1,2,0
32,Argentina,NEA,22,CHACO,36,12 DE OCTUBRE,2011,22,63,1,1,46,13,0,2,0
32,Argentina,NEA,22,CHACO,36,12 DE OCTUBRE,2012,1,1,0,0,1,0,0,0,0
32,Argentina,NEA,22,CHACO,36,12 DE OCTUBRE,2016,24,93,3,1,42,16,0,3,0
32,Argentina,NEA,22,CHACO,36,12 DE OCTUBRE,2017,7,23,0,0,17,5,0,1,0
32,Argentina,NEA,22,CHACO,36,12 DE OCTUBRE,Sin dato,4,8,0,0,0,0,0,0,0
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2009,11,36,4,3,25,3,0,0,0
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2010,37,146,12,20,96,12,1,5,0
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2011,76,273,15,20,179,47,1,10,1
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2012,27,80,3,1,65,9,0,0,2
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2013,10,41,6,0,33,2,0,0,0
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2014,3,7,1,0,4,2,0,0,0
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2015,1,1,0,0,0,0,0,0,0
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2016,2,6,0,2,2,2,0,0,0
32,Argentina,NEA,22,CHACO,39,2 DE ABRIL,2017,28,87,2,0,64,17,0,4,0
32,Argentina,CENTRO,6,BUENOS AIRES,854,25 DE MAYO,2012,26,74,3,14,25,18,0,14,0
32,Argentina,CENTRO,6,BUENOS AIRES,854,25 DE MAYO,2013,8,17,1,0,9,5,0,2,0
32,Argentina,CENTRO,6,BUENOS AIRES,854,25 DE MAYO,2014,5,9,0,0,3,3,0,2,0
32,Argentina,CENTRO,6,BUENOS AIRES,854,25 DE MAYO,2016,18,48,3,2,31,10,0,2,0
32,Argentina,CENTRO,6,BUENOS AIRES,854,25 DE MAYO,2017,97,202,17,1,131,42,0,11,0
32,Argentina,CENTRO,6,BUENOS AIRES,854,25 DE MAYO,Sin dato,1,1,0,0,1,0,0,0,0
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,2009,52,229,5,12,123,48,1,2,1
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,2010,303,1190,194,70,675,201,2,20,8
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,2011,20,65,5,7,39,14,0,0,0
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,2012,18,65,4,4,33,24,0,0,0
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,2013,68,250,29,19,109,74,2,5,3
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,2014,62,208,16,8,109,55,2,7,0
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,2015,13,42,3,4,17,14,0,3,0
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,2017,7,22,0,0,15,6,0,1,0
32,Argentina,CUYO,70,SAN JUAN,126,25 DE MAYO,Sin dato,1,10,0,0,4,3,0,0,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,2009,18,70,9,5,46,9,0,1,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,2010,98,433,53,27,304,36,0,4,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,2011,35,148,13,7,100,20,5,3,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,2012,13,54,3,2,39,10,0,0,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,2013,5,23,1,0,16,6,0,0,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,2014,11,39,1,3,27,5,0,1,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,2015,3,15,1,4,7,2,0,1,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,2017,57,183,9,0,141,28,0,5,0
32,Argentina,NEA,22,CHACO,168,25 DE MAYO,Sin dato,1,2,0,0,2,0,0,0,0
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2009,102,318,23,9,243,34,0,0,1
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2010,87,335,34,71,178,44,0,1,0
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2011,67,221,25,64,109,17,2,3,0
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2012,27,81,7,9,53,9,0,0,1
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2013,36,116,9,4,60,19,0,3,0
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2014,192,659,64,29,406,114,6,20,1
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2015,173,493,32,19,224,85,1,21,1
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2016,75,179,11,0,136,26,0,5,0
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,2017,109,284,8,0,235,37,0,4,0
32,Argentina,NEA,54,MISIONES,119,25 DE MAYO,Sin dato,107,237,19,1,67,12,1,2,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2009,11,42,9,2,14,7,2,6,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2010,71,263,44,52,119,39,3,5,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2011,11,32,10,2,13,6,0,1,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2012,16,39,7,7,15,4,3,1,2
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2013,31,83,20,3,46,9,1,1,0
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2014,34,103,23,0,61,11,0,4,1
32,Argentina,PATAGONIA,62,RIO NEGRO,91,25 DE MAYO,2015,30,82,12,1,44,21,0,2,0
