cod_pais,nom_pais,Region,cod_provincia,nom_provincia,cod_depto,nom_depto,anio,trabajadores_no_familiares_permanentes_jornada_completa,trabajadores_no_familiares_permanentes_jornada_parcial,produccion_aromaticas,produccion_cereales,produccion_citricos,produccion_cultivos_andinos,producción_forestales,produccion_forrajeras,produccion_cultivos_industriales,produccion_fruta_fina,produccion_frutales,produccion_frutas_tropicales,produccion_frutales_de_pepita,produccion_frutos_secos,produccion_hortalizas_de_fruto,produccion_de_hortalizas_de_hoja,produccion_de_legumbres,produccion_de_medicinales,produccion_de_oleaginosas,produccion_vid_vinifera,produccion_de_aves,produccion_de_bovinos,produccion_de_abejas,produccion_de_caprinos,produccion_de_conejos,produccion_de_equinos,produccion_de_ovinos,produccion_de_porcinos
32,Argentina,CENTRO,2,Ciudada Autonoma de Bs As,1,CIUDAD DE BUENOS AIRES,2017,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,1,2
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2016,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2017,1,0,1,1,1,0,1,1,1,0,1,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,2
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2018,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,Sin dato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,5,4,0,0,0,0,4,4
32,Argentina,CENTRO,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2011,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2010,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7,2,0,2,2,2,2,3
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,5,0,0,0,0,8,2,0,3,3,0,2,3
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,4,1,0,0,0,0,0,9
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2017,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3
32,Argentina,CENTRO,6,BUENOS AIRES,35,AVELLANEDA,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,35,AVELLANEDA,2012,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,2
32,Argentina,CENTRO,6,BUENOS AIRES,35,AVELLANEDA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,42,AYACUCHO,2012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,4
32,Argentina,CENTRO,6,BUENOS AIRES,42,AYACUCHO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,3,6
32,Argentina,CENTRO,6,BUENOS AIRES,42,AYACUCHO,2015,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,42,AYACUCHO,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,42,AYACUCHO,2017,6,0,1,1,1,0,0,0,0,0,1,0,1,0,3,3,2,1,0,0,4,2,1,0,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,49,AZUL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,49,AZUL,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,49,AZUL,2012,1,0,0,3,0,0,0,0,0,1,1,0,0,0,2,12,0,0,0,0,13,8,0,1,0,0,6,7
32,Argentina,CENTRO,6,BUENOS AIRES,49,AZUL,2013,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,27,7,0,2,0,0,7,18
32,Argentina,CENTRO,6,BUENOS AIRES,49,AZUL,2014,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,8,2,0,0,0,0,1,4
32,Argentina,CENTRO,6,BUENOS AIRES,49,AZUL,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,2,0,0,0,0,1,3
32,Argentina,CENTRO,6,BUENOS AIRES,49,AZUL,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,49,AZUL,2017,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2009,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,4
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2010,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,1,0,0,0,1,1,5
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,1,1,0,0,0,0,0,2
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2012,0,0,2,1,0,0,2,0,0,0,2,0,0,0,1,3,0,0,0,0,1,4,0,0,0,1,0,8
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,8,1,0,0,3,0,1,6
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,1,5
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2016,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2017,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,Sin dato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
