cod_pais,nom_pais,cod_provincia,nom_provincia,cod_depto,nom_depto,anio,produccion,cantidad_de_producciones,cod_unid_superficie,nom_uni_superficie,superficie_total,
32,Argentina,6,BUENOS AIRES,7,ADOLFO ALSINA,2011,AVENA,1,ha,hectárea,120,0
32,Argentina,6,BUENOS AIRES,7,ADOLFO ALSINA,2012,ARVEJAS,1,ha,hectárea,1,500000
32,Argentina,6,BUENOS AIRES,7,ADOLFO ALSINA,2013,HUERTA AUTOCONSUMO,3,ha,hectárea,0,9000
32,Argentina,6,BUENOS AIRES,7,ADOLFO ALSINA,2013,HUERTA MERCADO (5 ESPECIES O MAS),1,ha,hectárea,0,0
32,Argentina,6,BUENOS AIRES,7,ADOLFO ALSINA,2014,TOMATE PERITA,1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,7,ADOLFO ALSINA,2014,LECHUGA,1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,SOJA 1RA,1,ha,hectárea,25,0
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,TRIGO PAN,1,ha,hectárea,25,0
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,CEBOLLA DE BULBO,2,ha,hectárea,0,700000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,ZAPALLO,2,ha,hectárea,0,700000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,HORTALIZAS DE HOJA,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,CHOCLO,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,REMOLACHA,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,AJI / PIMIENTO FRESCO,1,ha,hectárea,0,200000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,TOMATE REDONDO,1,ha,hectárea,0,200000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,HUERTA AUTOCONSUMO,4,ha,hectárea,0,79000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,TOMATE,1,ha,hectárea,0,6000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2011,FRUTALES VARIOS (HASTA 6 PLANTAS),1,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2011,HUERTA AUTOCONSUMO,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2011,AROMATICAS,1,ha,hectárea,0,1000
32,Argentina,6,BUENOS AIRES,21,ALBERTI,2012,OTRAS HORTALIZAS DE HOJA,1,ha,hectárea,1,500000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2010,AVENA,2,ha,hectárea,6,0
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2010,ALFALFA,1,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2010,MAIZ,1,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2010,HUERTA AUTOCONSUMO,4,ha,hectárea,0,24200
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2010,HUERTA MERCADO (5 ESPECIES O MAS),2,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2010,ACELGA,1,ha,hectárea,0,5000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,AVENA,3,ha,hectárea,16,0
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,OTROS CEREALES,1,ha,hectárea,5,0
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,HUERTA MERCADO (5 ESPECIES O MAS),4,ha,hectárea,1,550075
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,PECAN,1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,ZAPALLO,1,ha,hectárea,0,12500
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,ACELGA,1,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,OTROS FORESTALES,1,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,HUERTA AUTOCONSUMO,1,ha,hectárea,0,2500
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,VIVERO - ORNAMENTALES,1,ha,hectárea,0,0
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,TOMATE REDONDO,2,ha,hectárea,120,60000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,FRUTALES VARIOS (HASTA 6 PLANTAS),1,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,ESPINACA,2,ha,hectárea,0,968000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,ACELGA,4,ha,hectárea,0,934400
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,REMOLACHA,3,ha,hectárea,0,751000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,CEBOLLA DE VERDEO,3,ha,hectárea,0,751000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,REPOLLO,1,ha,hectárea,0,750000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,ZAPALLITO DE TRONCO O REDONDO,3,ha,hectárea,0,551000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,CHOCLO,2,ha,hectárea,0,525000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,COREANITO  ANQUITO O CALABACITA,2,ha,hectárea,0,501000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,AVENA,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,HABA,1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,LECHUGA,3,ha,hectárea,0,215500
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,ALBAHACA,2,ha,hectárea,0,208000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,PUERRO,2,ha,hectárea,0,70000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,ZANAHORIA,1,ha,hectárea,0,1000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,OTRAS HORTALIZAS,2,ha,hectárea,0,1000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,SORGO GRANIFERO,1,ha,hectárea,0,1000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,FLORES,2,ha,hectárea,0,0
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,NARANJO,1,ha,hectárea,0,400000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,SANDIA,1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,MELON,1,ha,hectárea,0,200000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,LIMONERO,1,ha,hectárea,0,100000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,TOMATE REDONDO,1,ha,hectárea,0,100000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,BERENJENA,1,ha,hectárea,0,15000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,CEBOLLA DE VERDEO,1,ha,hectárea,0,15000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,AJI / PIMIENTO FRESCO,1,ha,hectárea,0,15000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,PUERRO,1,ha,hectárea,0,15000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,VID DE MESA,1,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,ZAPALLITO DE TRONCO O REDONDO,1,ha,hectárea,0,8000
32,Argentina,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,REMOLACHA,1,ha,hectárea,0,8000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2011,VID DE MESA,1,ha,hectárea,2,0
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2011,HUERTA MERCADO (5 ESPECIES O MAS),1,ha,hectárea,2,0
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2011,CHOCLO,1,ha,hectárea,0,8000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2011,ACELGA,1,ha,hectárea,0,6000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2011,TOMATE REDONDO,1,ha,hectárea,0,4000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,VID VINIFERA,1,ha,hectárea,3,500000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,REPOLLO,2,ha,hectárea,2,50000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,TOMATE REDONDO,2,ha,hectárea,1,53000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,CHAUCHA,1,ha,hectárea,1,50000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,REMOLACHA,1,ha,hectárea,1,50000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,OTRAS HORTALIZAS DE HOJA,3,ha,hectárea,1,500
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,OTRAS HORTALIZAS,2,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,LECHUGA,2,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,PUERRO,1,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,HUERTA MERCADO (5 ESPECIES O MAS),3,ha,hectárea,0,18000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,ACELGA,3,ha,hectárea,0,11000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,ZAPALLITO DE TRONCO O REDONDO,1,ha,hectárea,0,5000
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,PAPA,2,ha,hectárea,0,2500
32,Argentina,6,BUENOS AIRES,35,AVELLANEDA,2012,CHOCLO,1,ha,hectárea,0,500
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2012,PERENNES,1,ha,hectárea,40,0
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2012,SOJA 1RA,1,ha,hectárea,20,0
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2012,MAIZ,1,ha,hectárea,5,0
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2012,HUERTA AUTOCONSUMO,1,ha,hectárea,0,15000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2013,HUERTA MERCADO (5 ESPECIES O MAS),1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2015,FRAMBUESA,1,ha,hectárea,0,5000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2015,OTRAS HORTALIZAS,1,ha,hectárea,0,5000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2015,FRUTILLA,1,ha,hectárea,0,5000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2015,ZAPALLITO DE TRONCO O REDONDO,1,ha,hectárea,0,3000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2015,OTRAS HORTALIZAS DE HOJA,1,ha,hectárea,0,1000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2015,FRUTALES VARIOS (HASTA 6 PLANTAS),1,ha,hectárea,0,800
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2015,OTRAS AROMATICAS,1,ha,hectárea,0,200
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2016,OTRAS FORRAJERAS PERENNES,1,ha,hectárea,30,0
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2016,FORRAJERAS ANUALES,1,ha,hectárea,12,0
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2016,ZAPALLITO DE TRONCO O REDONDO,1,ha,hectárea,0,30000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2016,ACELGA,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,42,AYACUCHO,2016,BERENJENA,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,49,AZUL,2011,HUERTA AUTOCONSUMO,1,ha,hectárea,0,5000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,ANUALES,2,ha,hectárea,95,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,TRIGO PAN,1,ha,hectárea,36,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,AVENA,2,ha,hectárea,15,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,(en blanco),,ha,hectárea,13,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,MAIZ,1,ha,hectárea,13,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,ZAPALLITO DE TRONCO O REDONDO,1,ha,hectárea,2,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,HUERTA MERCADO (5 ESPECIES O MAS),11,ha,hectárea,1,404200
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,HUERTA AUTOCONSUMO,3,ha,hectárea,0,82000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,TOMATE REDONDO,1,ha,hectárea,0,30000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,FRUTALES VARIOS (HASTA 6 PLANTAS),1,ha,hectárea,0,18000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,VIVERO - ORNAMENTALES,1,ha,hectárea,0,13000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,VIVERO - HORTICOLA,1,ha,hectárea,0,13000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,HORTALIZAS DE HOJA,2,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,ZAPALLO,1,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,CEBOLLA DE VERDEO,1,ha,hectárea,0,5000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,PUERRO,1,ha,hectárea,0,5000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,BERENJENA,1,ha,hectárea,0,2000
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,FRUTILLA,1,ha,hectárea,0,600
32,Argentina,6,BUENOS AIRES,49,AZUL,2012,TOMATE,1,ha,hectárea,0,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,ANUALES,2,ha,hectárea,15,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,MAIZ,1,ha,hectárea,5,0
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,COREANITO  ANQUITO O CALABACITA,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,HUERTA MERCADO (5 ESPECIES O MAS),9,ha,hectárea,0,416000
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,HUERTA AUTOCONSUMO,12,ha,hectárea,0,151000
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,FRUTALES VARIOS (HASTA 6 PLANTAS),1,ha,hectárea,0,25000
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,VIVERO - HORTICOLA,1,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,CIRUELO,1,ha,hectárea,0,2000
32,Argentina,6,BUENOS AIRES,49,AZUL,2013,VIVERO - ORNAMENTALES,2,ha,hectárea,0,500
