cod_pais;nom_pais;Region;nom_provincia;cod_depto;nom_depto;produccion_animal;año;cantidad_de_producciones;vientres;cabezas
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;PAVOS;2012;1;2;7
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;POLLOS PARRILLEROS;2009;1;;
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;PORCINOS - CICLO COMPLETO;2010;1;1;1
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;PORCINOS - CRÍA DE LECHONES;2009;3;6;8
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;PORCINOS - CRÍA DE LECHONES;2010;2;2;2
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;PORCINOS - CRÍA DE LECHONES;2012;2;12;18
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;PORCINOS - CRÍA DE LECHONES;2013;1;5;5
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;PORCINOS - OTROS;2010;1;;1
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;VACUNOS - CRÍA A CAMPO;2009;1;3;4
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;VACUNOS - CRÍA A CAMPO;2010;5;356;636
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;VACUNOS - CRÍA A CAMPO;2012;2;18;34
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;VACUNOS - CRÍA A CAMPO;2013;1;8;11
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;VACUNOS - GANADERÍA NO ESPECIALIZADA;2009;1;3;9
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;VACUNOS - GANADERÍA NO ESPECIALIZADA;2010;1;5;6
32;Argentina;PATAGONIA;RIO NEGRO;63;PICHI MAHUIDA;VACUNOS - RECRÍA;2009;1;2;3
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;ASNARES / MULARES;2014;1;1;1
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - CARNE;2009;2;93;96
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - CARNE;2010;4;245;400
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - CARNE;2011;3;230;290
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - CARNE;2013;1;37;40
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - CARNE;2014;8;485;721
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - CARNE;2015;1;35;54
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - LECHE;2014;1;150;215
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - OTROS;2010;3;65;67
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - OTROS;2013;1;100;103
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - PELO;2009;45;2207;3466
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - PELO;2010;20;715;1030
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - PELO;2011;27;2092;2542
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - PELO;2012;7;363;580
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - PELO;2013;20;987;1493
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - PELO;2014;47;2623;3651
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CAPRINOS - PELO;2015;9;472;913
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CONEJOS CARNE;2010;1;3;4
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CONEJOS CARNE;2013;1;3;8
32;Argentina;PATAGONIA;RIO NEGRO;70;PILCANIYEU;CONEJOS CARNE;2014;1;4;5
