cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;a¤o_del_dato;Integrantes_del_naf_con_obra_social;integrantes_del_naf_con_prepaga;integrantes_del_naf_con_sistema_p£blico_de_salud;integrantes_del_naf_sin_cobertura_medica
32;Argentina;CENTRO;2;CIUDAD AUTONOMA DE BS AS;1;CIUDAD DE BUENOS AIRES;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;854;25 DE MAYO;2012;34;0;58;4
32;Argentina;CENTRO;6;BUENOS AIRES;854;25 DE MAYO;2013;5;0;16;0
32;Argentina;CENTRO;6;BUENOS AIRES;854;25 DE MAYO;2014;2;2;10;0
32;Argentina;CENTRO;6;BUENOS AIRES;854;25 DE MAYO;2016;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;854;25 DE MAYO;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;854;25 DE MAYO;Sin dato;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2010;8;0;26;1
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2011;193;0;441;42
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2012;147;17;265;51
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2013;3;0;16;0
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2014;0;0;4;3
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2015;12;0;8;3
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2016;9;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;588;9 DE JULIO;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;2011;0;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;2012;0;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;2013;6;0;9;8
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;2014;1;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;2016;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;2018;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;Sin dato;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;14;ADOLFO GONZALES CHAVES;2010;0;0;17;6
32;Argentina;CENTRO;6;BUENOS AIRES;14;ADOLFO GONZALES CHAVES;2011;2;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;2010;1;0;22;0
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;2012;0;0;7;0
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;2013;3;0;6;2
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;2015;0;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;2016;0;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2009;0;0;0;1
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2010;10;0;44;4
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2011;38;0;18;0
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2012;1;0;7;3
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2013;13;7;25;17
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2014;1;0;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2015;4;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2016;0;0;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;77;ARRECIFES;2009;0;0;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;77;ARRECIFES;2010;18;0;92;0
32;Argentina;CENTRO;6;BUENOS AIRES;77;ARRECIFES;2012;3;0;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;77;ARRECIFES;2014;1;0;12;2
32;Argentina;CENTRO;6;BUENOS AIRES;77;ARRECIFES;2016;0;0;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;35;AVELLANEDA;2011;0;0;10;1
32;Argentina;CENTRO;6;BUENOS AIRES;35;AVELLANEDA;2012;15;3;25;4
32;Argentina;CENTRO;6;BUENOS AIRES;35;AVELLANEDA;2013;6;0;0;0
