cod_pais,nom_pais,Region,Provincia,Cod prov,Departamento,Cod dpto,Año del dato,Tenencia de la tierra,Cantidad de NAFs
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2012,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2012,Posesión,5
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2012,Propietario,14
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2012,Tenedor,4
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2013,No declara tierra con límite,3
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2013,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2013,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2013,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2014,No declara tierra con límite,3
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2014,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2014,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2016,No declara tierra con límite,16
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2016,Propietario,2
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2017,Integrante,2
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2017,No declara tierra con límite,73
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2017,Posesión,6
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2017,Propietario,10
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,2017,Tenedor,6
32,Argentina,CENTRO,BUENOS AIRES,6,25 DE MAYO,854,Sin dato,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2010,No declara tierra con límite,2
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2010,Otra condición,5
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2010,Propietario,4
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2010,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2011,Integrante,1
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2011,No declara tierra con límite,6
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2011,Otra condición,29
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2011,Posesión,21
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2011,Propietario,45
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2011,Tenedor,66
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2012,Integrante,3
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2012,No declara tierra con límite,9
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2012,Otra condición,35
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2012,Posesión,10
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2012,Propietario,49
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2012,Tenedor,45
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2013,No declara tierra con límite,7
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2014,No declara tierra con límite,2
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2015,Integrante,1
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2015,Otra condición,5
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2015,Propietario,5
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2016,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,9 DE JULIO,588,2017,No declara tierra con límite,2
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,2011,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,2011,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,2012,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,2013,No declara tierra con límite,9
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,2014,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,2016,No declara tierra con límite,34
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,2017,No declara tierra con límite,51
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,2018,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO ALSINA,7,Sin dato,No declara tierra con límite,62
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO GONZALES CHAVES,14,2010,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO GONZALES CHAVES,14,2010,Propietario,4
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO GONZALES CHAVES,14,2010,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,ADOLFO GONZALES CHAVES,14,2011,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALBERTI,21,2010,Posesión,3
32,Argentina,CENTRO,BUENOS AIRES,6,ALBERTI,21,2010,Propietario,2
32,Argentina,CENTRO,BUENOS AIRES,6,ALBERTI,21,2010,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,ALBERTI,21,2012,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALBERTI,21,2013,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALBERTI,21,2013,Tenedor,5
32,Argentina,CENTRO,BUENOS AIRES,6,ALBERTI,21,2015,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALBERTI,21,2016,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2009,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2010,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2010,Posesión,4
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2010,Propietario,4
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2010,Tenedor,4
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2011,Otra condición,2
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2011,Propietario,8
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2011,Tenedor,7
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2012,Propietario,4
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2012,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2013,No declara tierra con límite,18
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2013,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2014,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2014,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2015,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2016,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2016,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,ALMIRANTE BROWN,28,2017,No declara tierra con límite,4
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2009,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2010,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2010,Otra condición,15
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2010,Propietario,17
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2010,Tenedor,5
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2012,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2012,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2014,No declara tierra con límite,4
32,Argentina,CENTRO,BUENOS AIRES,6,ARRECIFES,77,2016,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,AVELLANEDA,35,2011,Otra condición,2
32,Argentina,CENTRO,BUENOS AIRES,6,AVELLANEDA,35,2011,Propietario,2
32,Argentina,CENTRO,BUENOS AIRES,6,AVELLANEDA,35,2012,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,AVELLANEDA,35,2012,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,AVELLANEDA,35,2012,Propietario,10
32,Argentina,CENTRO,BUENOS AIRES,6,AVELLANEDA,35,2012,Tenedor,3
32,Argentina,CENTRO,BUENOS AIRES,6,AVELLANEDA,35,2013,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2012,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2012,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2012,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2012,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2013,Otra condición,4
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2013,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2013,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2013,Tenedor,5
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2015,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2015,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2016,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2016,Propietario,7
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2017,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2017,Posesión,3
32,Argentina,CENTRO,BUENOS AIRES,6,AYACUCHO,42,2017,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2010,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2010,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2010,Tenedor,5
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2011,Tenedor,3
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2012,Otra condición,2
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2012,Posesión,2
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2012,Propietario,8
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2012,Tenedor,11
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2013,No declara tierra con límite,9
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2013,Otra condición,2
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2013,Posesión,7
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2013,Propietario,6
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2013,Tenedor,18
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2014,No declara tierra con límite,9
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2014,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2014,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2014,Propietario,4
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2014,Tenedor,4
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2015,Otra condición,5
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2015,Propietario,5
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2015,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2016,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2016,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2016,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2016,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,AZUL,49,2017,No declara tierra con límite,4
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2009,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2009,Posesión,2
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2009,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2009,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2010,Otra condición,2
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2010,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2010,Propietario,4
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2010,Tenedor,3
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2011,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2011,Propietario,4
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2011,Tenedor,9
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2012,Integrante,1
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2012,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2012,Posesión,5
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2012,Propietario,8
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2012,Tenedor,4
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2013,No declara tierra con límite,5
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2013,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2013,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2013,Tenedor,6
